iteration(log10) 	error(log10)
1301	-4.42877
1302	-4.43176
1303	-4.43476
1304	-4.43775
1305	-4.44074
1306	-4.44373
1307	-4.44672
1308	-4.44971
1309	-4.4527
1310	-4.4557
1311	-4.45869
1312	-4.46168
1313	-4.46467
1314	-4.46766
1315	-4.47065
1316	-4.47364
1317	-4.47664
1318	-4.47963
1319	-4.48262
1320	-4.48561
1321	-4.4886
1322	-4.49159
1323	-4.49458
1324	-4.49758
1325	-4.50057
1326	-4.50356
1327	-4.50655
1328	-4.50954
1329	-4.51253
1330	-4.51553
1331	-4.51852
1332	-4.52151
1333	-4.5245
1334	-4.52749
1335	-4.53048
1336	-4.53347
1337	-4.53647
1338	-4.53946
1339	-4.54245
1340	-4.54544
1341	-4.54843
1342	-4.55142
1343	-4.55441
1344	-4.55741
1345	-4.5604
1346	-4.56339
1347	-4.56638
1348	-4.56937
1349	-4.57236
1350	-4.57535
1351	-4.57835
1352	-4.58134
1353	-4.58433
1354	-4.58732
1355	-4.59031
1356	-4.5933
1357	-4.59629
1358	-4.59929
1359	-4.60228
1360	-4.60527
1361	-4.60826
1362	-4.61125
1363	-4.61424
1364	-4.61723
1365	-4.62023
1366	-4.62322
1367	-4.62621
1368	-4.6292
1369	-4.63219
1370	-4.63518
1371	-4.63817
1372	-4.64117
1373	-4.64416
1374	-4.64715
1375	-4.65014
1376	-4.65313
1377	-4.65612
1378	-4.65911
1379	-4.66211
1380	-4.6651
1381	-4.66809
1382	-4.67108
1383	-4.67407
1384	-4.67706
1385	-4.68005
1386	-4.68305
1387	-4.68604
1388	-4.68903
1389	-4.69202
1390	-4.69501
1391	-4.698
1392	-4.701
1393	-4.70399
1394	-4.70698
1395	-4.70997
1396	-4.71296
1397	-4.71595
1398	-4.71894
1399	-4.72194
1400	-4.72493
1401	-4.72792
1402	-4.73091
1403	-4.7339
1404	-4.73689
1405	-4.73988
1406	-4.74288
1407	-4.74587
1408	-4.74886
1409	-4.75185
1410	-4.75484
1411	-4.75783
1412	-4.76082
1413	-4.76382
1414	-4.76681
1415	-4.7698
1416	-4.77279
1417	-4.77578
1418	-4.77877
1419	-4.78176
1420	-4.78476
1421	-4.78775
1422	-4.79074
1423	-4.79373
1424	-4.79672
1425	-4.79971
1426	-4.8027
1427	-4.8057
1428	-4.80869
1429	-4.81168
1430	-4.81467
1431	-4.81766
1432	-4.82065
1433	-4.82365
1434	-4.82664
1435	-4.82963
1436	-4.83262
1437	-4.83561
1438	-4.8386
1439	-4.84159
1440	-4.84459
1441	-4.84758
1442	-4.85057
1443	-4.85356
1444	-4.85655
1445	-4.85954
1446	-4.86253
1447	-4.86553
1448	-4.86852
1449	-4.87151
1450	-4.8745
1451	-4.87749
1452	-4.88048
1453	-4.88347
1454	-4.88647
1455	-4.88946
1456	-4.89245
1457	-4.89544
1458	-4.89843
1459	-4.90142
1460	-4.90441
1461	-4.90741
1462	-4.9104
1463	-4.91339
1464	-4.91638
1465	-4.91937
1466	-4.92236
1467	-4.92535
1468	-4.92835
1469	-4.93134
1470	-4.93433
1471	-4.93732
1472	-4.94031
1473	-4.9433
1474	-4.9463
1475	-4.94929
1476	-4.95228
1477	-4.95527
1478	-4.95826
1479	-4.96125
1480	-4.96424
1481	-4.96724
1482	-4.97023
1483	-4.97322
1484	-4.97621
1485	-4.9792
1486	-4.98219
1487	-4.98518
1488	-4.98818
1489	-4.99117
1490	-4.99416
1491	-4.99715
1492	-5.00014
1493	-5.00313
1494	-5.00612
1495	-5.00912
1496	-5.01211
1497	-5.0151
1498	-5.01809
1499	-5.02108
1500	-5.02407
1501	-5.02706
1502	-5.03006
1503	-5.03305
1504	-5.03604
1505	-5.03903
1506	-5.04202
1507	-5.04501
1508	-5.04801
1509	-5.051
1510	-5.05399
1511	-5.05698
1512	-5.05997
1513	-5.06296
1514	-5.06595
1515	-5.06895
1516	-5.07194
1517	-5.07493
1518	-5.07792
1519	-5.08091
1520	-5.0839
1521	-5.08689
1522	-5.08989
1523	-5.09288
1524	-5.09587
1525	-5.09886
1526	-5.10185
1527	-5.10484
1528	-5.10783
1529	-5.11083
1530	-5.11382
1531	-5.11681
1532	-5.1198
1533	-5.12279
1534	-5.12578
1535	-5.12877
1536	-5.13177
1537	-5.13476
1538	-5.13775
1539	-5.14074
1540	-5.14373
1541	-5.14672
1542	-5.14972
1543	-5.15271
1544	-5.1557
1545	-5.15869
1546	-5.16168
1547	-5.16467
1548	-5.16766
1549	-5.17066
1550	-5.17365
1551	-5.17664
1552	-5.17963
1553	-5.18262
1554	-5.18561
1555	-5.1886
1556	-5.1916
1557	-5.19459
1558	-5.19758
1559	-5.20057
1560	-5.20356
1561	-5.20655
1562	-5.20954
1563	-5.21254
1564	-5.21553
1565	-5.21852
1566	-5.22151
1567	-5.2245
1568	-5.22749
1569	-5.23049
1570	-5.23348
1571	-5.23647
1572	-5.23946
1573	-5.24245
1574	-5.24544
1575	-5.24843
1576	-5.25143
1577	-5.25442
1578	-5.25741
1579	-5.2604
1580	-5.26339
1581	-5.26638
1582	-5.26937
1583	-5.27237
1584	-5.27536
1585	-5.27835
1586	-5.28134
1587	-5.28433
1588	-5.28732
1589	-5.29031
1590	-5.29331
1591	-5.2963
1592	-5.29929
1593	-5.30228
1594	-5.30527
1595	-5.30826
1596	-5.31125
1597	-5.31425
1598	-5.31724
1599	-5.32023
1600	-5.32322
1601	-5.32621
1602	-5.3292
1603	-5.3322
1604	-5.33519
1605	-5.33818
1606	-5.34117
1607	-5.34416
1608	-5.34715
1609	-5.35014
1610	-5.35314
1611	-5.35613
1612	-5.35912
1613	-5.36211
1614	-5.3651
1615	-5.36809
1616	-5.37108
1617	-5.37408
1618	-5.37707
1619	-5.38006
1620	-5.38305
1621	-5.38604
1622	-5.38903
1623	-5.39202
1624	-5.39502
1625	-5.39801
1626	-5.401
1627	-5.40399
1628	-5.40698
1629	-5.40997
1630	-5.41297
1631	-5.41596
1632	-5.41895
